脆弱性ID	重要度	対象ファイル	検知された問題	Code Mender修正内容	ステータス	検知日時	修正完了日時
SEC-001	HIGH	src/app.py	ハードコードされた認証情報の露出リスク	環境変数からの読み込みに修正し、authorized_user.jsonパスを隔離	FIXED	2026-05-28 10:00	2026-05-28 10:05
SEC-002	MED	index.html	外部スクリプト(CDN)読み込み時の整合性検証(SRI)不足	integrity属性とcrossorigin属性を追加	FIXED	2026-05-28 10:10	2026-05-28 10:12
SEC-003	LOW	scripts/sync_wbs_to_calendar.py	例外処理における詳細情報の意図しない標準出力露出	機密情報を除外したエラーハンドリングとロギングへ修正	FIXED	2026-05-28 10:15	2026-05-28 10:18
SEC-004	HIGH	scripts/sync_wbs_to_calendar.py	bandit B324: Calendar syncKey 生成に SHA1 を使用（弱ハッシュ警告）	非セキュリティ用途（重複排除キー）のため usedforsecurity=False を付与し、再スキャンで High 0 件を確認 (T789)	FIXED	2026-06-12 11:00	2026-06-12 11:30
SEC-005	HIGH	requirements.txt (fastapi>=0.136.3 / starlette>=1.0.1,<1.1.0)	pip-audit: CVE-2026-48710 Host ヘッダ未検証による request.url パス乖離（パス認可バイパスの可能性）	Updated FastAPI to 0.136.3 and Starlette to 1.0.1 with requirements lower-bound pins. pip-audit -r requirements.txt reports 0 known vulnerabilities (T802/R49, Issue #72).	FIXED	2026-06-12 11:00	2026-06-13 15:20
SEC-006	MED	scripts/sync_wbs_to_calendar.py; scripts/share_resources.py; scripts/create_recurrent_regular_review.py	bandit B113: requests timeout 未指定 17 箇所（sync スクリプト無期限ハングリスク）	Added timeout=30 to all 17 Google API requests calls. bandit -r src scripts main.py -ll reports High/Medium 0 (T802/R50, Issue #72).	FIXED	2026-06-12 11:00	2026-06-13 15:20
SEC-007	LOW	scripts/verify_public_demo.py; src/app.py	bandit B310 urlopen scheme / B108 hardcoded /tmp	Replaced urlopen with requests.get(timeout=30) and changed SQLite fallback temp DB path to tempfile.gettempdir(). bandit reports High/Medium 0.	FIXED	2026-06-12 11:00	2026-06-13 15:20
SEC-008	MED	https://kanta13jp1.github.io/mighty-link-ai-connect/; https://mightylink-app.com/	T805 external pentest review: Content-Security-Policy / X-Content-Type-Options / Referrer-Policy / Permissions-Policy / frame guard hardening不足。High 0、secret-like値露出 0。	T835でFirebase Hostingのheaders設定を追加し、CSP、X-Content-Type-Options、Referrer-Policy、Permissions-Policy、frame-ancestors / X-Frame-Options、HSTSを全公開ルートへ適用。validate_firebase_hosting_headers.pyとpytestでPASSし、デプロイ後のmightylink-app.com再診断もHIGH/MED/LOW 0でPASS。GitHub Pages制約はRunbookへ記録。	FIXED	2026-06-21 19:45	2026-06-23
SEC-009	HIGH	requirements.txt (fastapi>=0.141.1,<0.142.0 / starlette>=1.6.0,<1.7.0)	pip-audit: Starlette 1.0.1 に既知脆弱性5件（修正版1.1.0/1.3.0/1.3.1）	FastAPI/Starlette/python-multipartを現行修正版へ更新し、Actions 33308264395でpip-audit既知脆弱性0件を確認 (T998)	FIXED	2026-08-30 19:28	2026-08-30 20:18
SEC-010	MED	src/app.py; scripts/*.py	Bandit B310/B323/B608/B314 合計29件（外向きURL、診断用TLS fallback、動的SQL識別子、JUnit XML解析）	HTTPS/固定ホスト/loopback制限、SQL識別子allowlist、defusedxml、警告専用TLS診断の限定nosecを適用。Actions 33308264395でBandit High/Medium 0件、Artifact保存を確認 (T998)	FIXED	2026-08-30 19:28	2026-08-30 20:18
SEC-011	HIGH	GitHub Actions Supabase Production UAT Write Verification	接続URIの未encoded予約文字によりDB認証情報断片が失敗ログへ露出した可能性	該当run/Artifactを削除して404を確認し、接続前のcanonical Supabase URI検証、外部例外本文の完全抑止、fail-closed回帰テストを実装。2026-08-31のユーザー判断によりDB password回転・Actions secret更新・15/15 rollback-only live再検証は今回は実施せず、残存リスク受容としてCLOSE。再利用・再発・production UAT必須化時は再OPEN	CLOSED_RISK_ACCEPTED	2026-08-30 22:00	2026-08-31
