指標ID	カテゴリ	確認項目	実績値	目標値	状態	最終更新日時
KPI-01	全体の進捗	パイロット実施日数	3日	14日	実行中	2026-06-06 10:00
KPI-02	全体の進捗	テストマッチング回数	25回	20回	完了	2026-06-06 10:00
KPI-03	全体の進捗	参加ユーザー数	2名	2名	完了	2026-06-06 10:00
KPI-04	全体の進捗	平均診断処理時間	3.2秒	5.0秒以下	完了	2026-06-06 10:00
KPI-05	精度・適合率	診断結果の適合精度	88%	80%以上	完了	2026-06-06 10:00
KPI-06	コスト監視	期間中累積APIコスト	$0.00	$10.00以下	完了	2026-06-06 10:00
KPI-07	コスト監視	無料枠内での稼働率	100%	90%以上	完了	2026-06-06 10:00
KPI-08	法務・合意	利用同意書取得率	100%	100%	完了	2026-06-06 10:00
KPI-09	法務・合意	データ保管期間遵守	遵守	遵守	完了	2026-06-06 10:00
KPI-10	法務・合意	個人情報マスキング適用率	100%	100%	完了	2026-06-06 10:00
